Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
56000,-1.5748639,1.4186227,0.00026729342,None,None,-1268.538345336914
58000,-2.0927963,1.4186227,0.0002660934,None,None,None
60000,-1.8123688,1.4186225,0.0002647131,-967.2740726218326,4496.0,-967.2740478515625
62000,-2.0069776,1.4186227,0.0002633928,None,None,None
64000,-1.564101,1.4186225,0.00026229254,-1060.0609995746054,4496.0,-1060.0609512329102
66000,-1.748064,1.4186429,0.0002612922,None,None,None
68000,-1.692125,1.4186631,0.00025991193,-838.0225420305505,4496.0,-838.0225219726562
70000,-1.8366101,1.4186631,0.00025859167,None,None,None
72000,-1.4985275,1.4186633,0.00025749134,-806.4770242446102,4496.0,None
74000,-1.6029156,1.4186631,0.00025649104,None,None,-806.4770088195801
76000,-1.5325431,1.4186631,0.00025529106,None,None,None
78000,-1.752533,1.419096,0.00025391072,-865.0100971083157,4496.0,-865.0101089477539
80000,-1.7717258,1.419096,0.00025259043,None,None,None
82000,-1.6525193,1.4190959,0.00025149016,-896.1128076924942,4496.0,-896.1128005981445
84000,-1.6774449,1.419096,0.00025048983,None,None,None
86000,-1.7390404,1.419096,0.00024910952,-771.9602446313947,4496.0,-771.9602584838867
88000,-1.6217303,1.4190255,0.00024778923,None,None,None
