Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1800000,34.70714,13.085103,0.082806095,1.4087555,0.00027321957,None,None,None
1830000,35.136257,6.217842,0.14845143,1.4083601,0.00027276966,None,None,None
1860000,35.796097,6.1583347,0.16314413,1.4078858,0.00027231962,None,None,None
1890000,36.513298,6.0944595,0.13149786,1.4076444,0.00027186962,1442.7216159871314,4496.0,1441.852134507278
1920000,36.73246,None,None,1.4076444,0.0002716442,None,None,1467.9366455078125
1950000,36.868553,13.164708,0.12071843,1.4075997,0.00027119415,None,None,None
1980000,37.31061,5.840271,0.15168628,1.4075106,0.00027074415,None,None,None
2010000,37.73856,5.895193,0.19244315,1.4074599,0.0002702942,None,None,None
2040000,38.4078,5.713723,0.13596086,1.4076653,0.000269694,1391.4956031017161,4496.0,1391.495603688558
2070000,38.65492,13.861557,0.10021142,1.408118,0.00026916873,None,None,None
2100000,39.06336,4.970413,0.13807867,1.4078281,0.00026871872,None,None,None
2130000,39.681484,4.944471,0.13585034,1.4072154,0.00026826866,None,None,None
2160000,40.42531,4.841428,0.14098439,1.4064251,0.00026781874,1478.5026593040093,4496.0,1478.7850083975957
2190000,40.64099,None,None,1.4064251,0.00026759328,None,None,1470.314697265625
2220000,40.82839,14.143324,0.08681989,1.4064524,0.0002671433,None,None,None
2250000,41.440586,4.5464416,0.14925955,1.406299,0.0002666933,None,None,None
2280000,42.04389,4.6107364,0.1386756,1.4058888,0.00026624324,None,None,None
2310000,42.634975,4.367044,0.12964666,1.4054443,0.00026564306,1499.7976789691795,4496.0,1499.797681681315
2340000,42.743042,14.495812,0.089602314,1.4053857,0.0002651178,None,None,None
2370000,43.108852,4.250942,0.14226031,1.405227,0.00026466788,None,None,None
2400000,43.57538,4.483263,0.14902462,1.4049226,0.00026421782,None,None,None
2430000,44.13264,4.2607403,0.14691098,1.4044396,0.0002637678,1475.1993979544911,4496.0,1475.8682700565882
2460000,44.43433,None,None,1.4044396,0.00026354234,None,None,1465.8350982666016
2490000,44.62899,15.271956,0.08761095,1.4046668,0.00026309237,None,None,None
2520000,45.20382,3.7886941,0.15199137,1.4044763,0.00026264234,None,None,None
2550000,45.677773,3.4854383,0.13579816,1.4038352,0.00026219236,None,None,None
2580000,46.144325,3.423717,0.14568873,1.4035646,0.00026159218,1502.3477620933204,4496.0,1502.3477578481038
2610000,46.37305,15.978969,0.10844116,1.403401,0.00026106692,None,None,None
2640000,46.728157,3.290464,0.1321978,1.402969,0.00026061691,None,None,None
2670000,47.296925,3.3000937,0.148991,1.4025517,0.00026016688,None,None,None
2700000,47.887333,3.0430853,0.15129556,1.4020873,0.00025971694,1531.0813064770773,4496.0,1530.5233257838659
2730000,48.137455,None,None,1.4020875,0.00025949144,None,None,1538.8930282592773
2760000,48.314857,16.544624,0.10414007,1.4021207,0.0002590415,None,None,None
2790000,48.792377,2.9172025,0.14372414,1.40179,0.00025859146,None,None,None
2820000,49.32343,2.737181,0.12610194,1.4013321,0.00025814146,None,None,None
2850000,49.85051,2.5763342,0.13775562,1.4008367,0.00025754125,1534.6389713676647,4496.0,1534.6389630635579
2880000,49.92383,17.728434,0.09506972,1.4009244,0.000257016,None,None,None
2910000,50.28065,2.5731251,0.13944821,1.4004765,0.00025656607,None,None,None
2940000,50.841763,2.6028686,0.1401801,1.4001313,0.00025611604,None,None,None
2970000,51.44055,2.3341525,0.13057193,1.399758,0.000255666,1555.834247288884,4496.0,1555.0389709472656
3000000,51.67395,None,None,1.3997581,0.00025544057,None,None,1566.968002319336
3030000,51.81886,18.293045,0.103168815,1.3998954,0.0002549906,None,None,None
3060000,52.181545,2.2645326,0.1582358,1.399503,0.0002545405,None,None,None
3090000,52.771122,2.4677567,0.1582933,1.3995187,0.00025409064,None,None,None
3120000,53.32753,2.0836058,0.15498568,1.3994827,0.0002534904,1562.2703789418874,4496.0,1562.270384724935
3150000,53.49862,19.133911,0.106742136,1.3996676,0.00025296514,None,None,None
3180000,53.85336,1.9008647,0.14265455,1.3993126,0.0002525151,None,None,None
3210000,54.355545,1.7993557,0.1496485,1.3988163,0.0002520652,None,None,None
3240000,54.936413,1.6360372,0.13689281,1.3984216,0.0002516152,1583.097498822647,4496.0,1583.4181355067662
3270000,55.112873,None,None,1.3984216,0.00025138963,None,None,1578.608497619629
3300000,55.288036,19.901718,0.10531815,1.3986938,0.0002509397,None,None,None
3330000,55.771034,1.6144261,0.14769739,1.3983879,0.00025048965,None,None,None
3360000,56.239178,1.4428598,0.13946033,1.3980343,0.00025003965,None,None,None
3390000,56.58581,1.449135,0.1383793,1.3978194,0.00024943947,1592.0826921661073,4496.0,1592.0826863606771
3420000,56.43703,20.850096,0.09813544,1.3975723,0.00024891418,None,None,None
3450000,56.808346,1.6894279,0.1396938,1.3971996,0.00024846426,None,None,None
