Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
60000,1.4287652,0.0002645989,-6.206652308557472,4.017543859649122,-0.16787651,-6.2047327222830075,13.199886,1.6864688
62000,1.4289705,0.00026339974,-6.116833462126319,4.225130890052356,-0.099420495,-6.121324482076455,12.595336,1.7164059
64000,1.4291841,0.00026220083,-6.00320963405752,3.8285024154589373,-0.09341773,-6.004896242549454,13.989093,1.680626
66000,1.4293691,0.00026100123,-6.0142455415106975,4.012531328320802,-0.07723822,-6.009959007863114,13.432151,1.8542962
68000,1.4297515,0.0002598011,-6.0358215030885205,4.39622641509434,-0.09651482,-6.039375829166479,11.922665,1.633465
70000,1.4300866,0.00025860005,-5.865445754264133,3.819277108433735,-0.10400523,-5.862574307315321,11.8235445,1.7364835
72000,1.4305801,0.00025740094,-6.025561693901797,4.244094488188976,-0.14373331,-6.041377316622596,13.312131,1.7354779
74000,1.4310791,0.00025620146,-5.835671637740139,4.154639175257732,-0.16732383,-5.818065999863074,11.420676,1.6328334
76000,1.4315827,0.00025499938,-5.908714582651929,4.093908629441624,-0.16929246,-5.9029659227217515,11.426715,1.6938176
78000,1.4321096,0.00025379926,-5.839849483037862,4.045569620253165,-0.1572406,-5.853171532968932,11.755959,1.6846058
80000,1.4326221,0.00025260163,-5.9696140942925755,3.9115479115479115,-0.13476308,-5.964563452787423,12.807231,1.7500618
82000,1.4331342,0.0002514013,-5.942695698772676,4.327127659574468,-0.107786044,-5.944836775514673,11.562547,1.6525382
84000,1.4337468,0.000250201,-5.685110590598536,4.071065989847716,-0.1255163,-5.685837990136316,12.252414,1.584568
86000,1.4343945,0.00024900146,-6.060753563885849,4.167958656330749,-0.13411766,-6.060954291537135,12.993883,1.6218535
88000,1.4349877,0.00024780052,-5.76930235953335,3.909313725490196,-0.17183854,-5.7665364853307315,12.6375265,1.714104
90000,1.4350791,0.0002466004,-5.894913642381046,4.203125,-0.25486806,-5.89228229643777,11.109106,1.6657449
92000,1.4353629,0.0002454009,-5.4490563274358985,3.7482185273159145,-0.44196492,-5.453172305771404,10.823254,1.6554736
94000,1.436239,0.00024420134,-5.579505576223307,3.5954022988505745,-0.511793,-5.578623710761125,10.483275,1.7130921
96000,1.4370406,0.00024300153,-5.477689106281525,3.8100961538461537,-0.5184218,-5.473044979099471,9.986127,1.6376816
98000,1.4373896,0.00024180026,-5.314827576406216,3.997506234413965,-0.43280047,-5.327597728988477,9.886186,1.705062
100000,1.4375995,0.00024059985,-5.457088608911075,3.8588807785888077,-0.50234145,-5.451168604430781,9.697557,1.5891627
102000,1.4381362,0.00023940121,-5.353753808240506,4.073604060913706,-0.46826196,-5.353378585525576,9.37386,1.4495034
